Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
62,Twisted Metal 2,,PS,Sony Computer Entertainment,SingleTrac,,8.7,,,2440000.0,2120000.0,250000.0,,70000.0,1996-10-31 00:00:00,N/A
63,Need for Speed Carbon: Own the City,,PSP,Electronic Arts,EA Black Box,,7.4,,,2420000.0,870000.0,970000.0,,580000.0,2006-10-31 00:00:00,N/A
64,ATV Offroad Fury,,PS2,Sony Computer Entertainment,Rainbow Studios,,8.4,,,2410000.0,2069999.9999999998,260000.0,,80000.0,2001-02-05 00:00:00,N/A
65,Need for Speed: ProStreet,,PS2,Electronic Arts,EA Black Box,,,,,2410000.0,690000.0,0.0,40000.0,1680000.0,2007-11-13 00:00:00,N/A
66,Forza Motorsport 5,,XOne,Microsoft Studios,Turn 10 Studios,,,,,2400000.0,1280000.0,900000.0,10000.0,210000.0,2013-11-22 00:00:00,2018-01-15 00:00:00
67,Midnight Club: Los Angeles,,X360,Rockstar Games,Rockstar San Diego,,8.0,,,2400000.0,1720000.0,450000.0,10000.0,220000.0,2008-10-20 00:00:00,N/A
68,Need for Speed: High Stakes,,PS,Electronic Arts,EA Canada,,,,,2310000.0,1580000.0,640000.0,,90000.0,1999-03-01 00:00:00,N/A
69,Need for Speed Underground 2,,XB,Electronic Arts,EA Black Box,,,,,2280000.0,1380000.0,800000.0,,100000.0,2004-11-15 00:00:00,N/A
70,Project CARS,,Series,Bandai Namco Entertainment,Slightly Mad Studios,,,,2260000.0,,,,,,2015-05-06 00:00:00,2020-03-17 00:00:00
71,Need for Speed: Hot Pursuit,,X360,Electronic Arts,Criterion Games,,8.8,,,2200000.0,1030000.0,960000.0,0.0,210000.0,2010-11-16 00:00:00,N/A
72,Need for Speed: Payback,,PS4,Electronic Arts,Ghost Games,,5.8,,,2180000.0,620000.0,1180000.0,40000.0,340000.0,2017-11-10 00:00:00,2018-04-04 00:00:00
73,ATV Offroad Fury 2,,PS2,Sony Computer Entertainment,Rainbow Studios,,8.7,,,2180000.0,1920000.0,200000.0,,60000.0,2002-11-09 00:00:00,N/A
74,Need for Speed Rivals,,PS4,Electronic Arts,Ghost Games,,,,,2170000.0,750000.0,1040000.0,30000.0,350000.0,2013-11-15 00:00:00,2018-01-16 00:00:00
75,R.C. Pro-Am,,NES,Nintendo,Rare Ltd.,,,,2140000.0,,,,,,1988-02-01 00:00:00,N/A
76,Project Gotham Racing,,XB,Microsoft,Bizarre Creations,,8.4,,,2120000.0,1370000.0,610000.0,50000.0,90000.0,2001-11-14 00:00:00,N/A
77,Need for Speed: Hot Pursuit 2,,PS2,Electronic Arts,EA Seattle,,8.7,,,2110000.0,1680000.0,310000.0,20000.0,90000.0,2002-10-01 00:00:00,N/A
