Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
290,28 Waves Later,,PC,Unknown,Dagestan Technology,,,,150000.0,,,,,,N/A,2019-03-21
291,Mr.President!,,PC,Unknown,Game Developer X,,,,150000.0,,,,,,N/A,2019-03-21
292,Space Incident,,PC,Unknown,Vogd3,,,,150000.0,,,,,,N/A,2019-03-21
293,Paranautical Activity,,PC,Unknown,Digerati Distribution,,,,150000.0,,,,,,N/A,2019-03-23
294,Blades of Time,,PC,Unknown,Gaijin Entertainment,,,,150000.0,,,,,,N/A,2019-03-23
295,Feed and Grow: Fish,,PC,Unknown,Old B1ood,,,,150000.0,,,,,,N/A,2019-03-23
296,One Piece Unlimited World: Red,,PSV,Namco Bandai Games,Ganbarion,,,,,150000.0,40000.0,40000.0,40000.0,30000.0,2014-07-08 00:00:00,2018-10-19
297,Deadly Premonition: The Director's Cut,,PC,Unknown,Rising Star Games,,,,150000.0,,,,,,N/A,2019-03-24
298,Dead Rising 4,,PC,Capcom,Capcom,,,,150000.0,,,,,,2016-12-06 00:00:00,2018-10-01
299,Wizorb,,PC,Unknown,Tribute Games,,,,150000.0,,,,,,N/A,2019-03-25
300,Offspring Fling!,,PC,Unknown,Kyle Pulver,,,,150000.0,,,,,,N/A,2019-03-25
301,The Final Station,,PC,Unknown,Oleg Sergeev,,,,150000.0,,,,,,N/A,2019-03-27
302,Galaxy on Fire 2 Full HD,,PC,Unknown,Fishlabs Entertainment,,,,140000.0,,,,,,N/A,2019-03-29
303,Immune - True Survival,,PC,Unknown,vidiludi games and entertainment,,,,140000.0,,,,,,N/A,2019-03-29
304,Okami HD,,PS3,Capcom,HexaDrive,,,,,140000.0,,,140000.0,,2012-10-30 00:00:00,2018-04-21
305,Murdered: Soul Suspect,,PS3,Square Enix,Airtight Games,,,,,140000.0,50000.0,50000.0,20000.0,20000.0,2014-06-03 00:00:00,2018-08-06
306,We Happy Few,,PS4,Gearbox Software,Compulsion Games,,,,,140000.0,80000.0,40000.0,,20000.0,2018-08-10 00:00:00,2018-09-17
307,Rodea the Sky Soldier,,WiiU,NIS America,Kadokawa Games,,7.0,,,140000.0,100000.0,20000.0,10000.0,10000.0,2015-11-10 00:00:00,2018-04-06
308,Metal Gear Solid V: Ground Zeroes,,X360,Konami Digital Entertainment,Kojima Productions,,8.3,,,140000.0,60000.0,50000.0,10000.0,10000.0,2014-03-18 00:00:00,2018-03-22
309,Cucumber Blues,,PC,Unknown,Unknown,,,,130000.0,,,,,,2017-04-03 00:00:00,2019-04-21
310,Watch Dogs,,WiiU,Ubisoft,Ubisoft Montreal,,,,,130000.0,70000.0,50000.0,,10000.0,2014-11-18 00:00:00,2018-03-15
311,Tom Clancy's Splinter Cell: Blacklist,,WiiU,Ubisoft,Ubisoft Shanghai,,9.2,,,130000.0,40000.0,70000.0,,10000.0,2013-08-20 00:00:00,2018-03-08
312,Westerado: Double Barreled,,PC,Adult Swim,Ostrich Banditos,,,,120000.0,,,,,,2015-04-16 00:00:00,2019-04-20
313,Oceanhorn: Monster of Uncharted Seas,,PC,FDG Entertainment,Cornfox & Brothers,,,,120000.0,,,,,,2015-03-17 00:00:00,2019-04-20
314,Overture,,PC,Black Shell Media,Black Shell Games,,,,120000.0,,,,,,2015-01-01 00:00:00,2019-04-17
315,The Growth Journey,,PC,Cleverweek,Cleverweek,,,,120000.0,,,,,,2016-01-07 00:00:00,2019-04-17
316,LEGO Batman 2: DC Super Heroes,,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,,120000.0,40000.0,70000.0,,10000.0,2013-05-21 00:00:00,2018-03-15
317,Anodyne,,PC,Analgesic Productions,Sean Han Tani,,,,120000.0,,,,,,2013-03-22 00:00:00,2019-04-09
318,Darksiders: Warmastered Edition,,PS4,THQ Nordic,Kaiko,,,,,110000.0,70000.0,20000.0,,20000.0,2016-11-22 00:00:00,2018-03-31
319,Insanely Twisted Shadow Planet,,PC,Microsoft Studios,Shadow Planet Productions,,,,110000.0,,,,,,2012-04-17 00:00:00,2019-04-06
320,Between Me and The Night,,PC,Unknown,RainDance LX,,,,110000.0,,,,,,N/A,2019-04-05
321,Heroes of Hammerwatch,,PC,Crackshell,Crackshell,,,,110000.0,,,,,,2018-03-01 00:00:00,2019-04-03
322,Dungeon Souls,,PC,Black Shell Media,Lamina Studios,,,,110000.0,,,,,,2016-12-02 00:00:00,2019-04-01
323,Fatal Frame 2: Wii Edition,,Wii,Nintendo,Koei Tecmo Games,,,,,110000.0,,0.0,100000.0,0.0,2012-06-28 00:00:00,2018-08-30
324,How to Train Your Dragon 2,,PS3,Little Orbit,Torus Games,,,,,100000.0,30000.0,60000.0,,20000.0,2014-06-10 00:00:00,2018-03-17
325,Terraria,,PSV,505 Games,Engine Software,,,,,100000.0,,10000.0,90000.0,0.0,2013-12-04 00:00:00,2018-03-19
326,Starlink: Battle for Atlas,,PS4,Ubisoft,Ubisoft Toronto,,,,,100000.0,80000.0,,,20000.0,2018-10-16 00:00:00,2019-03-22
327,Starlink: Battle for Atlas,,XOne,Ubisoft,Ubisoft Toronto,,,,,100000.0,90000.0,,,10000.0,2018-10-16 00:00:00,2019-03-22
328,Touhou Luna Nights,,PC,Vaka Game Magazine,Vaka Game Magazine,,,,100000.0,,,,,,2019-02-26 00:00:00,2019-06-24
329,Murdered: Soul Suspect,,X360,Square Enix,Airtight Games,,,,,100000.0,60000.0,30000.0,,10000.0,2014-06-03 00:00:00,2018-08-06
330,SpongeBob: HeroPants,,X360,Activision,Behaviour Interactive,,,,,100000.0,90000.0,0.0,,10000.0,2015-02-03 00:00:00,2018-04-15
331,Resident Evil 4,,PS4,Capcom,Capcom,,,,,100000.0,70000.0,,10000.0,20000.0,2016-08-30 00:00:00,2018-09-04
332,Resident Evil: Origins Collection,,XOne,Capcom,Capcom,,,,,100000.0,70000.0,20000.0,,10000.0,2016-01-19 00:00:00,2018-09-04
333,We Happy Few,,XOne,Gearbox Software,Compulsion Games,,,,,90000.0,70000.0,10000.0,,10000.0,2018-08-10 00:00:00,2018-09-17
334,Castlevania: Lords of Shadow 2,,X360,Konami Digital Entertainment,Mercury Steam,,,,,90000.0,20000.0,60000.0,,10000.0,2014-02-25 00:00:00,2018-11-02
335,Invizimals: The Alliance,,PSV,Sony Computer Entertainment,Novarama,,,,,90000.0,0.0,70000.0,,20000.0,2014-09-30 00:00:00,2018-04-09
336,The Amazing Spider-Man (2012),,WiiU,Activision,Beenox,,6.0,,,90000.0,50000.0,40000.0,,10000.0,2013-03-05 00:00:00,2018-03-15
