Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
2175,Petz Dogz Family,,DSiW,Ubisoft,Ubisoft,,,,,,,,,,2010-08-02 00:00:00,N/A
2176,Petz Hamsterz Family,,DSiW,Ubisoft,Ubisoft,,,,,,,,,,2010-07-26 00:00:00,N/A
2177,Petz Kittens,,DSiW,Ubisoft,Ubisoft,,,,,,,,,,2010-07-19 00:00:00,N/A
2178,Petz Sports,,PC,Ubisoft,Ubisoft Montreal,,,,,,,,,,2008-11-04 00:00:00,N/A
2179,Petz: Catz 2,,PC,Ubisoft,Yuke's Media Creations,,,,,,,,,,2007-11-15 00:00:00,N/A
2180,Petz: Dogz 5 & Catz 5,,PC,Ubisoft,Ubisoft,,,,,,,,,,2005-01-15 00:00:00,N/A
2181,Petz: Horse Club,,PC,Ubisoft,Ubisoft,,,,,,,,,,2008-11-11 00:00:00,N/A
2182,Petz: Horsez 2,,PC,Ubisoft,Ubisoft,,,,,,,,,,2007-11-15 00:00:00,N/A
2183,Phaser Patrol,,2600,Unknown,Arcadia,,,,,,,,,,1982-01-01 00:00:00,N/A
2184,Phoenix,,PC,Hasbro Interactive,Team17 Software,,,,,,,,,,1999-01-01 00:00:00,N/A
2185,Picture Perfect Pocket Stylist,,DSiW,505 Games,505 Games,,,,,,,,,,2011-05-02 00:00:00,N/A
2186,Pile Up! Bakery,,PSN,Sony Computer Entertainment,Sony Computer Entertainment America,,,,,,,,,,2010-04-29 00:00:00,N/A
2187,Pilotwings,,VC,Nintendo,Nintendo EAD,,7.5,,,,,,,,2009-12-28 00:00:00,N/A
2188,Pippa Funnell: Stable Adventure,,GBA,Ubisoft,Lexis Numerique,,,,,,,,,,2005-09-30 00:00:00,N/A
2189,Pippa Funnell: The Golden Stirrup Challenge,,PC,Ubisoft,Lexis Numerique,,,,,,,,,,2007-03-20 00:00:00,N/A
2190,Playboy The Mansion: Gold Edition,,PC,Ubisoft,Cyberlore Studios,,,,,,,,,,2005-11-17 00:00:00,N/A
2191,Playboy The Mansion: Private Party,,PC,Groove Games,Cyberlore Studios,,,,,,,,,,2007-01-01 00:00:00,N/A
2192,Playboy: The Mansion,,PC,ARUSH Entertainment,Cyberlore Studios,,,,,,,,,,2005-01-25 00:00:00,N/A
2193,PlayStation Home,,PSN,Sony Computer Entertainment,SCEE London Studio,,,,,,,,,,2008-12-11 00:00:00,2018-12-03 00:00:00
2194,Pocket Love,,GB,KID,KID Corporation,,,,,,,,,,1997-07-18 00:00:00,N/A
2195,Pocket Love 2,,GB,KID,KID Corporation,,,,,,,,,,1998-03-13 00:00:00,N/A
2196,Pokémon Snap,,VC,Nintendo,HAL Laboratory,,,,,,,,,,2007-12-10 00:00:00,N/A
2197,Police Squad - Politzi,,PC,Excalibur Publishing Limited,Excalibur Publishing Limited,,,,,,,,,,2011-11-25 00:00:00,N/A
2198,Populous,,MS,TecMagik,TecMagic Entertainment,,,,,,,,,,1991-01-01 00:00:00,N/A
2199,Populous,,PCE,Hudson Soft,Alfa System,,,,,,,,,,1991-04-05 00:00:00,N/A
2200,Populous,,PC,Electronic Arts,Bullfrog Productions,,,,,,,,,,1989-01-01 00:00:00,N/A
2201,Populous,,GEN,Electronic Arts,Bullfrog Productions,,,,,,,,,,1989-01-01 00:00:00,N/A
