Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
115,Madden NFL 17,,XOne,EA Sports,EA Tiburon,,8.1,,,2440000.0,2140000.0,40000.0,,260000.0,2016-08-23 00:00:00,2018-04-01 00:00:00
116,Ice Hockey,,NES,Nintendo,Nintendo,,,,2420000.0,,,,,,1988-03-01 00:00:00,N/A
117,Pro Evolution Soccer 2011,,PS3,Konami,Konami,,6.0,,,2410000.0,290000.0,1180000.0,540000.0,410000.0,2010-10-05 00:00:00,N/A
118,NBA 2K16,,XOne,2K Sports,Visual Concepts,,8.3,,,2410000.0,2009999.9999999998,150000.0,,250000.0,2015-09-29 00:00:00,2018-03-28 00:00:00
119,Madden NFL 11,,PS3,EA Sports,EA Tiburon,,8.4,,,2400000.0,2049999.9999999998,150000.0,,200000.0,2010-08-10 00:00:00,N/A
120,Zumba Fitness,,X360,Majesco,"Pipeworks Software, Inc.",,,,,2390000.0,1740000.0,450000.0,,200000.0,2010-11-18 00:00:00,N/A
121,Mario & Sonic at the London 2012 Olympic Games,,Wii,Sega,Sega,,6.8,,2390000.0,,,,,,2011-11-15 00:00:00,N/A
122,Madden NFL 08,,X360,EA Sports,EA Tiburon,,8.7,,,2370000.0,2180000.0,10000.0,,180000.0,2007-08-14 00:00:00,N/A
123,Tony Hawk's Underground 2,,PS2,Activision,Neversoft Entertainment,,,,,2370000.0,1250000.0,860000.0,10000.0,260000.0,2004-10-04 00:00:00,N/A
124,Madden NFL 10,,PS3,EA Sports,EA Tiburon,8.6,8.5,,,2370000.0,2029999.9999999998,130000.0,,210000.0,2009-08-14 00:00:00,N/A
125,Kinect Sports: Season Two,,X360,Microsoft Studios,Rare Ltd.,,6.6,,,2330000.0,1380000.0,720000.0,20000.0,210000.0,2011-10-25 00:00:00,N/A
126,Madden NFL 25,,X360,EA Sports,EA Tiburon,,7.8,,,2330000.0,2020000.0,70000.0,,250000.0,2013-08-27 00:00:00,2018-01-06 00:00:00
127,My Fitness Coach,,Wii,Ubisoft,Ubisoft,,7.1,,,2320000.0,1180000.0,900000.0,,240000.0,2008-12-02 00:00:00,N/A
128,Mario Super Sluggers,,Wii,Nintendo,Bandai Namco Games / NOW Production,,6.7,,2320000.0,,,,,,2008-08-25 00:00:00,N/A
