Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
66,Beyond: Two Souls,,PS3,Sony Computer Entertainment,Quantic Dream,,,,,1700000.0,520000.0,860000.0,60000.0,260000.0,2013-10-08 00:00:00,2018-07-09 00:00:00
67,"Monsters, Inc.",,GBA,THQ,Artificial Mind and Movement,,,,,1670000.0,590000.0,950000.0,30000.0,100000.0,2001-10-25 00:00:00,N/A
68,Prince of Persia: Warrior Within,,PS2,Ubisoft,Ubisoft Montreal,,,,,1640000.0,540000.0,880000.0,,220000.0,2004-11-30 00:00:00,N/A
69,SpongeBob's Atlantis SquarePantis,,DS,THQ,Altron,,,,,1610000.0,1490000.0,0.0,,110000.0,2007-10-23 00:00:00,N/A
70,Metroid Fusion,,GBA,Nintendo,Nintendo R&D1,,9.0,,1600000.0,,,,,,2002-11-17 00:00:00,N/A
71,Silent Hill,,PS,Konami,KCET,,8.9,,,1600000.0,710000.0,480000.0,300000.0,100000.0,1999-01-31 00:00:00,N/A
72,L.A. Noire: The Complete Edition,,PC,Rockstar Games,Rockstar Leeds,,,,1600000.0,,,,,,2011-11-08 00:00:00,N/A
73,LEGO Harry Potter: Years 1-4,,X360,Warner Bros. Interactive,Traveller's Tales,,7.9,,,1590000.0,950000.0,500000.0,,140000.0,2010-06-29 00:00:00,2018-12-01 00:00:00
74,Disney Fairies: Tinker Bell,,DS,Disney Interactive Studios,Hyde,,,,,1520000.0,850000.0,510000.0,10000.0,150000.0,2008-10-28 00:00:00,N/A
75,Bratz: Forever Diamondz,,DS,THQ,Barking Lizards,,,,,1480000.0,430000.0,880000.0,,180000.0,2006-09-18 00:00:00,N/A
76,Drawn To Life: SpongeBob SquarePants Edition,,DS,THQ,Altron,,,,,1480000.0,990000.0,350000.0,,140000.0,2008-09-15 00:00:00,N/A
77,Assassin's Creed III: Liberation,,PSV,Ubisoft,Ubisoft,,,,,1480000.0,530000.0,570000.0,60000.0,320000.0,2012-10-30 00:00:00,2018-09-12 00:00:00
78,Disney Princess: Magical Jewels,,DS,Disney Interactive Studios,1st Playable Productions,,,,,1440000.0,1120000.0,200000.0,,120000.0,2007-10-16 00:00:00,N/A
79,The Legend of Zelda: Twilight Princess,,GC,Nintendo,Nintendo EAD,,9.5,,1430000.0,,,,,,2006-12-11 00:00:00,N/A
80,Super Metroid,,SNES,Nintendo,Intelligent Systems,,8.0,,1420000.0,,,,,,1994-04-18 00:00:00,N/A
81,LEGO Indiana Jones 2: The Adventure Continues,,Wii,LucasArts,Traveller's Tales,,7.5,,,1410000.0,900000.0,380000.0,,130000.0,2009-11-17 00:00:00,N/A
82,LEGO Indiana Jones: The Original Adventures,,PS2,LucasArts,Traveller's Tales,,,,,1370000.0,600000.0,10000.0,,760000.0,2008-06-03 00:00:00,N/A
