Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
821,Pac 'n Roll,,DS,Namco,Namco,,,,,110000.0,90000.0,0.0,20000.0,10000.0,2005-08-23 00:00:00,N/A
822,Garfield's Fun Fest,,DS,DSI Games,Black Lantern Studios,,,,,110000.0,70000.0,30000.0,,10000.0,2008-08-29 00:00:00,N/A
823,20XX,,PC,Batterystaple Games,Batterystaple Games,,,,110000.0,,,,,,2017-08-16 00:00:00,2019-04-07 00:00:00
824,de Blob 2,,DS,THQ,Blue Tongue,,7.5,,,110000.0,80000.0,20000.0,,10000.0,2011-02-22 00:00:00,N/A
825,Alter World,,PC,Giorgi Abelashvili,Giorgi Abelashvili,,,,110000.0,,,,,,2015-05-29 00:00:00,2019-04-06 00:00:00
826,Mighty No. 9,,PS4,Deep Silver,Comcept,,,,,110000.0,90000.0,,,20000.0,2016-06-21 00:00:00,2018-07-04 00:00:00
827,Where the Wild Things Are,,X360,Warner Bros. Interactive,Amaze Entertainment,,,,,110000.0,100000.0,0.0,,10000.0,2009-10-13 00:00:00,N/A
828,Disney's Peter Pan: Return to Never Land,,GBA,Disney Interactive Studios,Crawfish Interactive,,4.0,,,110000.0,80000.0,30000.0,,0.0,2002-02-22 00:00:00,N/A
829,The Fairly Odd Parents: Breakin Da Rules,,XB,THQ,Blitz Games,,,,,110000.0,80000.0,20000.0,,0.0,2003-11-03 00:00:00,N/A
830,Open Season,,X360,Ubisoft,Ubisoft Montreal,,5.7,,,110000.0,100000.0,0.0,,10000.0,2006-09-19 00:00:00,N/A
831,Space Chimps,,X360,Brash Entertainment,Red Tribe,,,,,110000.0,100000.0,0.0,,10000.0,2008-07-15 00:00:00,N/A
832,Pac-Man World 2,,GBA,Namco,Full Fat,,,,,110000.0,80000.0,30000.0,,0.0,2005-10-09 00:00:00,N/A
833,Chameleon Twist,,N64,Sunsoft,Japan Supply System,,,,,110000.0,90000.0,20000.0,,0.0,1997-11-30 00:00:00,N/A
834,Tonic Trouble,,N64,Ubisoft,Ubisoft Montpellier,,,,,110000.0,90000.0,20000.0,,0.0,1999-08-31 00:00:00,N/A
835,Death Jr.: Root of Evil,,Wii,Eidos Interactive,Backbone Entertainment,7.5,7.3,,,110000.0,100000.0,0.0,,10000.0,2008-05-27 00:00:00,N/A
836,"Prinny 2: Dawn of Operation Panties, Dood!",,PSP,NIS America,Nippon Ichi Software,,6.3,,,110000.0,60000.0,,30000.0,10000.0,2011-01-11 00:00:00,N/A
837,Oddworld: Munch's Oddysee,,PC,Oddworld Inhabitants,Oddworld Inhabitants,,,,110000.0,,,,,,2010-12-20 00:00:00,2019-04-05 00:00:00
