Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1150,Mega Man X: Command Mission,,GC,Capcom,Capcom,,7.2,,,120000.0,100000.0,20000.0,,0.0,2004-09-21 00:00:00,N/A
1151,Dragon's Crown Pro,,PS4,Atlus,Vanillaware,,,,,120000.0,100000.0,,,20000.0,2018-04-24 00:00:00,2018-01-29 00:00:00
1152,Venetica,,PS3,Atari,DECK13 Interactive,,5.0,,,120000.0,70000.0,30000.0,,10000.0,2011-01-11 00:00:00,2018-05-10 00:00:00
1153,Conception II: Children of the Seven Stars,,3DS,Atlus,Spike Chunsoft,,,,,120000.0,90000.0,,30000.0,10000.0,2014-04-15 00:00:00,2019-01-14 00:00:00
1154,Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,,DS,Namco Bandai,Monolith Soft,,,,,120000.0,,,120000.0,,2010-02-25 00:00:00,N/A
1155,Wild ARMs 5 (jp sales),,PS2,Xseed Games,Media.Vision,,,,,120000.0,,,120000.0,,2007-08-28 00:00:00,N/A
1156,Guardian's Crusade,,PS,Activision,Tamsoft,,,,,120000.0,70000.0,50000.0,,10000.0,1999-01-31 00:00:00,N/A
1157,Makai Kingdom: Chronicles of the Sacred Tome,,PS2,NIS America,Nippon Ichi Software,,7.9,,,120000.0,60000.0,50000.0,,20000.0,2005-07-26 00:00:00,N/A
1158,Dead Age,,PC,Headup Games,Silent Dreams,,,,120000.0,,,,,,2016-07-14 00:00:00,2019-04-17 00:00:00
1159,Super Robot Wars V,,PSV,Namco Bandai Games,B.B. Studio,,,,,120000.0,,,120000.0,,2017-02-23 00:00:00,2018-06-30 00:00:00
1160,Three Heroes,,PC,Cats Who Play,Cats Who Play,,,,120000.0,,,,,,2015-09-17 00:00:00,2019-04-17 00:00:00
1161,Eyeshield 21: Max Devil Power,,DS,Nintendo,Eighting,,,,,120000.0,,,120000.0,,2006-02-02 00:00:00,N/A
1162,Summon Night 3,,PSP,Namco Bandai Games,Felistella,,,,,120000.0,,,120000.0,,2012-10-04 00:00:00,2018-11-14 00:00:00
1163,Epic Battle Fantasy 4,,PC,Matt Roszak,Matt Roszak,,,,120000.0,,,,,,2014-02-25 00:00:00,2019-04-17 00:00:00
1164,Desktop Dungeons,,PC,QCF Design,QCF Design,,8.5,,120000.0,,,,,,2013-11-07 00:00:00,2019-04-17 00:00:00
1165,- Arcane Raise -,,PC,WAX Publishing,Arcane Raise,,,,120000.0,,,,,,2017-03-10 00:00:00,2019-04-17 00:00:00
1166,Daikaijyuu Monogatari II,,SNES,Hudson Soft,Birthday,,,,,120000.0,,,120000.0,0.0,1996-08-02 00:00:00,N/A
1167,Portal Knights,,PS4,505 Games,Keen Games,,,,,120000.0,20000.0,50000.0,30000.0,10000.0,2017-05-23 00:00:00,2018-07-03 00:00:00
1168,Medarot DS: Kabuto / Kuwagata Ver.,,DS,Rocket Company,Rocket Company,,,,,120000.0,,,120000.0,,2010-05-27 00:00:00,N/A
1169,Vampyr,,XOne,Focus Home Interactive,DONTNOD Entertainment,,,,,120000.0,70000.0,40000.0,,10000.0,2018-06-05 00:00:00,2018-02-08 00:00:00
1170,Tokyo New World Record: Operation Abyss,,PSV,NIS America,Experience Inc.,,,,,120000.0,40000.0,10000.0,60000.0,10000.0,2015-06-09 00:00:00,2018-11-15 00:00:00
1171,Lunar: Dragon Song,,DS,Ubisoft,Game Arts / Japan Art Media (JAM),6.1,5.9,,,120000.0,110000.0,0.0,,10000.0,2005-09-27 00:00:00,N/A
1172,Pokémon Crystal Version,,3DS,Nintendo,Game Freak,,,,,120000.0,,110000.0,,10000.0,2018-01-26 00:00:00,2018-08-03 00:00:00
1173,Avadon: The Black Fortress,,PC,Spiderweb Software,Spiderweb Software,,,,120000.0,,,,,,2011-05-02 00:00:00,2019-04-17 00:00:00
1174,Atelier Annie: Alchemists of Sera Island,,DS,NIS America,Gust,,,,,120000.0,80000.0,,30000.0,10000.0,2009-10-27 00:00:00,N/A
1175,Dungeon Travelers 2: The Royal Library & The Monster Seal,,PSV,Atlus,Aqua Plus,,,,,120000.0,30000.0,20000.0,50000.0,20000.0,2015-08-18 00:00:00,N/A
